cluster_id,total_posts,communities,sources,first_seen,last_seen,cross_community,cross_source,duration_hours,community_spread_rate,first_community_time,last_community_time,communities_adopted,adoption_duration_hours,propagation_velocity,source_count,cross_source_spread,recent_community_max,recent_community_growth,recent_windows_active,propagation_score,propagation_status
0,126,2,1,2022-12-03 13:07:20+00:00,2022-12-18 03:10:04+00:00,1,0,350.04555555555555,0.00571354204690818,2022-12-03 13:07:20+00:00,2022-12-15 13:56:48+00:00,2,288.82444444444445,0.0830954597564072,1,0,2,2.0,3,32.34,LOW
5,321,2,1,2022-12-03 14:52:58+00:00,2022-12-18 02:58:57+00:00,1,0,348.0997222222222,0.0057454800228861624,2022-12-03 14:52:58+00:00,2022-12-12 19:17:35+00:00,2,220.41027777777776,0.10888784426013609,1,0,2,2.0,3,32.93,LOW
6,91,1,1,2022-12-03 16:46:18+00:00,2022-12-18 03:05:30+00:00,0,0,346.32,0.0028875028875028877,2022-12-03 16:46:18+00:00,2022-12-03 16:46:18+00:00,1,0.0,0.0,1,0,1,1.0,3,7.87,LOW
7,180,2,1,2022-12-05 23:30:10+00:00,2022-12-18 02:50:57+00:00,1,0,291.3463888888889,0.006864680930583774,2022-12-05 23:30:10+00:00,2022-12-12 19:31:53+00:00,2,164.0286111111111,0.1463159374296151,1,0,2,2.0,3,33.75,LOW
9,8,2,1,2022-12-06 14:43:22+00:00,2022-12-18 02:48:07+00:00,1,0,276.07916666666665,0.007244298887698276,2022-12-06 14:43:22+00:00,2022-12-13 00:40:43+00:00,2,153.95583333333335,0.1558888642305423,1,0,1,1.0,3,29.18,LOW
10,259,1,1,2022-12-12 18:46:12+00:00,2022-12-15 14:55:10+00:00,0,0,68.14944444444444,0.014673633925441637,2022-12-12 18:46:12+00:00,2022-12-12 18:46:12+00:00,1,0.0,0.0,1,0,1,1.0,2,7.87,LOW
11,39,2,1,2022-12-06 17:13:55+00:00,2022-12-18 03:06:07+00:00,1,0,273.87,0.0073027348742103915,2022-12-06 17:13:55+00:00,2022-12-13 09:51:55+00:00,2,160.63333333333333,0.14940859099398215,1,0,2,2.0,3,33.82,LOW
12,39,2,1,2022-12-06 00:44:33+00:00,2022-12-18 02:58:10+00:00,1,0,290.2269444444444,0.006891158930224145,2022-12-06 00:44:33+00:00,2022-12-15 03:45:41+00:00,2,219.01888888888888,0.10957958978677639,1,0,2,2.0,3,32.94,LOW
15,29,2,1,2022-12-05 00:31:23+00:00,2022-12-18 03:05:56+00:00,1,0,314.5758333333333,0.006357767469952927,2022-12-05 00:31:23+00:00,2022-12-13 20:49:49+00:00,2,212.3072222222222,0.11304372855898032,1,0,2,2.0,3,33.02,LOW
16,113,2,1,2022-12-03 08:32:54+00:00,2022-12-18 02:36:38+00:00,1,0,354.0622222222222,0.005648724643502712,2022-12-03 08:32:54+00:00,2022-12-13 17:25:33+00:00,2,248.8775,0.09643298409860274,1,0,2,2.0,3,32.65,LOW
22,204,2,1,2022-12-13 01:29:37+00:00,2022-12-18 03:05:56+00:00,1,0,121.60527777777777,0.01644665459055825,2022-12-13 01:29:37+00:00,2022-12-17 23:51:01+00:00,2,118.35666666666667,0.20277691722758892,1,0,2,2.0,2,34.94,LOW
36,8,1,1,2022-12-07 14:04:05+00:00,2022-12-17 08:06:23+00:00,0,0,234.03833333333333,0.00427280431268382,2022-12-07 14:04:05+00:00,2022-12-07 14:04:05+00:00,1,0.0,0.0,1,0,1,1.0,3,7.87,LOW
40,269,2,1,2022-12-07 10:56:53+00:00,2022-12-18 01:45:03+00:00,1,0,254.80277777777778,0.00784920799311014,2022-12-07 10:56:53+00:00,2022-12-12 18:58:13+00:00,2,128.0222222222222,0.18746745356708908,1,0,2,2.0,3,34.62,LOW
47,72,2,1,2022-12-03 14:05:19+00:00,2022-12-18 03:03:47+00:00,1,0,348.97444444444443,0.005731078684526407,2022-12-03 14:05:19+00:00,2022-12-13 03:04:12+00:00,2,228.9813888888889,0.10481201165063149,1,0,2,2.0,3,32.84,LOW
48,6,2,1,2022-12-10 13:29:01+00:00,2022-12-18 01:59:15+00:00,1,0,180.5038888888889,0.011080093688347743,2022-12-10 13:29:01+00:00,2022-12-15 00:32:02+00:00,2,107.05027777777778,0.22419371998100582,1,0,2,2.0,2,35.37,LOW
49,242,2,1,2022-12-03 09:21:33+00:00,2022-12-18 03:01:50+00:00,1,0,353.6713888888889,0.005654966906662415,2022-12-03 09:21:33+00:00,2022-12-13 18:18:21+00:00,2,248.94666666666666,0.09640619141984896,1,0,2,2.0,3,32.65,LOW
53,172,2,1,2022-12-10 17:56:37+00:00,2022-12-18 03:11:18+00:00,1,0,177.2447222222222,0.011283833870621443,2022-12-10 17:56:37+00:00,2022-12-12 19:20:46+00:00,2,49.4025,0.4858053742219523,1,0,2,2.0,2,39.97,LOW
