cluster_id,time_window,volume,engagement,average_engagement,community_count,velocity,growth_rate,acceleration,velocity_log,acceleration_log,engagement_velocity,engagement_growth,community_velocity,baseline_volume,baseline_std,baseline_available,anomaly_score,positive_anomaly_score,above_baseline,persistence_windows,persistence_score,positive_growth,growth_score,positive_velocity,velocity_score,positive_acceleration,acceleration_score,log_engagement,engagement_score,anomaly_score_normalized,community_spread_score,raw_signal_score,persistence_multiplier,signal_score,signal_status,total_posts,active_windows,max_volume,temporal_signal_score,anomaly,persistence,communities
69,2022-12-15 00:00:00+00:00,269.0,1963.0,7.297397769516729,2.0,263.0,3.6525118099430616,258.0,5.575949103146316,5.556828061699537,-16563.0,-0.8940408075137162,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,3.6525118099430616,1.0,5.575949103146316,1.0,5.556828061699537,1.0,7.582738488914411,0.6472200279032655,0.0,0.0,74.64,0.85,63.44,MEDIUM,276.0,3,269.0,63.44,0.0,0.0,2.0
22,2022-12-15 00:00:00+00:00,192.0,9431.0,49.119791666666664,2.0,180.0,2.697740831443349,168.0,5.198497031265826,5.1298987149230735,9375.0,167.41071428272483,1.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,2.697740831443349,0.8842222557275703,5.198497031265826,0.9549318482628043,5.1298987149230735,0.9486807093599403,9.151863442217207,0.8189830271747834,0.0,1.0,74.4,0.85,63.24,MEDIUM,204.0,2,192.0,63.24,0.0,0.0,2.0
70,2022-12-15 00:00:00+00:00,431.0,844.0,1.9582366589327147,2.0,425.0,4.122515439188797,419.0,6.054439346269371,6.040254711277414,-4373.0,-0.8382211999231668,1.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,4.122515439188797,1.0,6.054439346269371,1.0,6.040254711277414,1.0,6.739336627357174,0.5548977223868495,0.0,1.0,74.15,0.85,63.03,MEDIUM,437.0,2,431.0,63.03,0.0,0.0,2.0
67,2022-12-15 00:00:00+00:00,131.0,11736.0,89.58778625954199,2.0,125.0,2.936891773531057,124.0,4.836281906951478,4.8283137373023015,-38554.0,-0.7666335255517843,1.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,2.936891773531057,0.9265965084343002,4.836281906951478,0.8883951635152865,4.8283137373023015,0.8929080973843322,9.370501524100124,0.8429160687213699,0.0,1.0,73.62,0.85,62.58,MEDIUM,142.0,3,131.0,62.58,0.0,0.0,2.0
90,2022-12-15 00:00:00+00:00,156.0,9882.0,63.34615384615385,2.0,122.0,1.5008977438588942,107.0,4.812184355372417,4.68213122712422,-4907.0,-0.3318006626546533,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,1.5008977438588942,0.6197969397999114,4.812184355372417,0.8839685918870638,4.68213122712422,0.8658743224194713,9.198571388376184,0.8240958748834325,0.0,0.0,63.76,0.85,54.2,MEDIUM,209.0,3,156.0,54.2,0.0,0.0,2.0
59,2022-12-15 00:00:00+00:00,85.0,57058.0,671.2705882352941,2.0,57.0,1.0870514662670332,44.0,4.060443010546419,3.8066624897703196,-32003.0,-0.3593379818326724,1.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,1.0870514662670332,0.4974822817919782,4.060443010546419,0.745878342433664,3.8066624897703196,0.703972431382271,10.951841099202072,1.0,0.0,1.0,59.62,0.85,50.68,MEDIUM,128.0,3,85.0,50.68,0.0,0.0,2.0
49,2022-12-15 00:00:00+00:00,127.0,60528.0,476.59842519685037,2.0,57.0,0.5893503868783014,32.0,4.060443010546419,3.4965075614664802,-94507.0,-0.6095849324346077,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,0.5893503868783014,0.31327957315653293,4.060443010546419,0.745878342433664,3.4965075614664802,0.6466149641600004,11.010877868015744,1.0,0.0,0.0,52.69,0.85,44.79,MEDIUM,242.0,3,127.0,44.79,0.0,0.0,2.0
12,2022-12-15 00:00:00+00:00,31.0,45.0,1.4516129032258065,2.0,26.0,1.6739764335716716,24.0,3.295836866004329,3.2188758248682006,-8502.0,-0.9947349947348783,1.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,1.6739764335716716,0.6650431087750697,3.295836866004329,0.6054249086028313,3.2188758248682006,0.595272064922888,3.828641396489095,0.23628081315544777,0.0,1.0,44.82,0.85,38.1,LOW,39.0,3,31.0,38.1,0.0,0.0,2.0
11,2022-12-15 00:00:00+00:00,33.0,48.0,1.4545454545454546,2.0,28.0,1.7346010553881066,24.0,3.367295829986474,3.2188758248682006,-589.0,-0.9246467817881874,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,1.7346010553881066,0.680201746274932,3.367295829986474,0.6185514796367285,3.2188758248682006,0.595272064922888,3.8918202981106265,0.24319664073842823,0.0,0.0,44.32,0.85,37.67,LOW,39.0,3,33.0,37.67,0.0,0.0,2.0
9,2022-12-15 00:00:00+00:00,6.0,15091.0,2515.1666666666665,1.0,5.0,1.252762968495368,5.0,1.791759469228055,1.791759469228055,15091.0,15091000000000.0,0.0,0.0,0.0,False,0.0,0.0,False,0.0,0.0,1.252762968495368,0.5491439813547685,1.791759469228055,0.3291351656645459,1.791759469228055,0.33135306147952887,9.621920081084202,0.8704373985741678,0.0,0.0,42.43,0.85,36.07,LOW,8.0,3,6.0,36.07,0.0,0.0,1.0
